key,en,fr,es,de
pokemon.91,Cloyster,Crustabri,Cloyster,Austos
pokemon.92,Gastly,Fantominus,Gastly,Nebulak
pokemon.93,Haunter,Spectrum,Haunter,Alpollo
pokemon.94,Gengar,Ectoplasma,Gengar,Gengar
pokemon.95,Onix,Onix,Onix,Onix
pokemon.96,Drowzee,Soporifik,Drowzee,Traumato
pokemon.97,Hypno,Hypnomade,Hypno,Hypno
pokemon.98,Krabby,Krabby,Krabby,Krabby
pokemon.99,Kingler,Krabboss,Kingler,Kingler
pokemon.100,Voltorb,Voltorbe,Voltorb,Voltobal
pokemon.101,Electrode,Électrode,Electrode,Lektrobal
pokemon.102,Exeggcute,Noeunoeuf,Exeggcute,Owei
pokemon.103,Exeggutor,Noadkoko,Exeggutor,Kokowei
pokemon.104,Cubone,Osselait,Cubone,Tragosso
pokemon.105,Marowak,Ossatueur,Marowak,Knogga
pokemon.106,Hitmonlee,Kicklee,Hitmonlee,Kicklee
pokemon.107,Hitmonchan,Tygnon,Hitmonchan,Nockchan
pokemon.108,Lickitung,Excelangue,Lickitung,Schlurp
pokemon.109,Koffing,Smogo,Koffing,Smogon
pokemon.110,Weezing,Smogogo,Weezing,Smogmog
pokemon.111,Rhyhorn,Rhinocorne,Rhyhorn,Rihorn
pokemon.112,Rhydon,Rhinoféros,Rhydon,Rizeros
pokemon.113,Chansey,Leveinard,Chansey,Chaneira
pokemon.114,Tangela,Saquedeneu,Tangela,Tangela
pokemon.115,Kangaskhan,Kangourex,Kangaskhan,Kangama
pokemon.116,Horsea,Hypotrempe,Horsea,Seeper
pokemon.117,Seadra,Hypocéan,Seadra,Seemon
pokemon.118,Goldeen,Poissirène,Goldeen,Goldini
pokemon.119,Seaking,Poissoroy,Seaking,Golking
pokemon.120,Staryu,Stari,Staryu,Sterndu
pokemon.121,Starmie,Staross,Starmie,Starmie
pokemon.122,Mr. Mime,M. Mime,Mr. Mime,Pantimos
pokemon.123,Scyther,Insécateur,Scyther,Sichlor
pokemon.124,Jynx,Lippoutou,Jynx,Rossana
pokemon.125,Electabuzz,Élektek,Electabuzz,Elektek
pokemon.126,Magmar,Magmar,Magmar,Magmar
pokemon.127,Pinsir,Scarabrute,Pinsir,Pinsir
pokemon.128,Tauros,Tauros,Tauros,Tauros
pokemon.129,Magikarp,Magicarpe,Magikarp,Karpador
pokemon.130,Gyarados,Léviator,Gyarados,Garados
pokemon.131,Lapras,Lokhlass,Lapras,Lapras
pokemon.132,Ditto,Métamorph,Ditto,Ditto
pokemon.133,Eevee,Évoli,Eevee,Evoli
pokemon.134,Vaporeon,Aquali,Vaporeon,Aquana
pokemon.135,Jolteon,Voltali,Jolteon,Blitza
pokemon.136,Flareon,Pyroli,Flareon,Flamara
pokemon.137,Porygon,Porygon,Porygon,Porygon
pokemon.138,Omanyte,Amonita,Omanyte,Amonitas
pokemon.139,Omastar,Amonistar,Omastar,Amoroso
pokemon.140,Kabuto,Kabuto,Kabuto,Kabuto
pokemon.141,Kabutops,Kabutops,Kabutops,Kabutops
pokemon.142,Aerodactyl,Ptéra,Aerodactyl,Aerodactyl
pokemon.143,Snorlax,Ronflex,Snorlax,Relaxo
pokemon.144,Articuno,Artikodin,Articuno,Arktos
pokemon.145,Zapdos,Électhor,Zapdos,Zapdos
pokemon.146,Moltres,Sulfura,Moltres,Lavados
pokemon.147,Dratini,Minidraco,Dratini,Dratini
pokemon.148,Dragonair,Draco,Dragonair,Dragonir
pokemon.149,Dragonite,Dracolosse,Dragonite,Dragoran
pokemon.150,Mewtwo,Mewtwo,Mewtwo,Mewtu
pokemon.151,Mew,Mew,Mew,Mew
# --- Items: names generated by `pnpm i18n:names`, descriptions written here,,,,
item.antidote,Antidote,Antidote,Antídoto,Gegengift
itemDesc.antidote,Cures a poisoned Pokémon. In battle.,Soigne un Pokémon empoisonné. En combat.,Cura el envenenamiento de un Pokémon. En combate.,Heilt ein vergiftetes Pokémon. Im Kampf.
item.paralyze-heal,Paralyze Heal,Anti-Para,Antiparalizador,Para-Heiler
itemDesc.paralyze-heal,Cures paralysis — the Pokémon can act this very turn. In battle.,Soigne la paralysie — le Pokémon peut agir dès ce tour. En combat.,Cura la parálisis: el Pokémon puede actuar en este mismo turno. En combate.,Heilt Paralyse — das Pokémon kann noch in dieser Runde handeln. Im Kampf.
item.burn-heal,Burn Heal,Anti-Brûle,Antiquemar,Feuerheiler
itemDesc.burn-heal,Cures a burn. In battle.,Soigne une brûlure. En combat.,Cura las quemaduras. En combate.,Heilt Verbrennungen. Im Kampf.
item.ice-heal,Ice Heal,Antigel,Antihielo,Eisheiler
itemDesc.ice-heal,Thaws a frozen Pokémon — it can act this very turn. In battle.,Dégèle un Pokémon gelé — il peut agir dès ce tour. En combat.,Descongela a un Pokémon: puede actuar en este mismo turno. En combate.,Taut ein eingefrorenes Pokémon auf — es kann noch in dieser Runde handeln. Im Kampf.
item.ether,Ether,Huile,Éter,Äther
itemDesc.ether,Gives the Pokémon in battle one reroll back (up to its maximum).,Rend une relance au Pokémon au combat (jusqu'à son maximum).,Devuelve una tirada al Pokémon en combate (hasta su máximo).,Gibt dem kämpfenden Pokémon einen Neuwurf zurück (bis zu seinem Maximum).
item.max-ether,Max Ether,Huile Max,Éter Máximo,Top-Äther
itemDesc.max-ether,Gives the Pokémon in battle three rerolls back (up to its maximum).,Rend trois relances au Pokémon au combat (jusqu'à son maximum).,Devuelve tres tiradas al Pokémon en combate (hasta su máximo).,Gibt dem kämpfenden Pokémon drei Neuwürfe zurück (bis zu seinem Maximum).
item.rare-candy,Rare Candy,Super Bonbon,Caramelo Raro,Sonderbonbon
itemDesc.rare-candy,Raises a Pokémon by one level. Use it from the Team screen.,Fait gagner un niveau à un Pokémon. À utiliser depuis l'écran Équipe.,Sube un nivel a un Pokémon. Úsalo desde la pantalla Equipo.,Erhöht das Level eines Pokémon um eins. Im Team-Bildschirm einsetzbar.
item.poke-ball,Poké Ball,Poké Ball,Poké Ball,Pokéball
itemDesc.poke-ball,Adds 1 to the catch die.,Ajoute 1 au dé de capture.,Suma 1 al dado de captura.,Zählt 1 zum Fangwürfel dazu.
item.great-ball,Great Ball,Super Ball,Super Ball,Superball
itemDesc.great-ball,A good ball: adds 2 to the catch die.,Une bonne Ball : ajoute 2 au dé de capture.,Una buena Ball: suma 2 al dado de captura.,Ein guter Ball: zählt 2 zum Fangwürfel dazu.
item.ultra-ball,Ultra Ball,Hyper Ball,Ultra Ball,Hyperball
itemDesc.ultra-ball,A high-performance ball: adds 3 to the catch die.,Une Ball haute performance : ajoute 3 au dé de capture.,Una Ball de alto rendimiento: suma 3 al dado de captura.,Ein Hochleistungsball: zählt 3 zum Fangwürfel dazu.
item.master-ball,Master Ball,Master Ball,Master Ball,Meisterball
itemDesc.master-ball,The best ball there is. It never misses.,La meilleure Ball qui soit. Elle ne rate jamais.,La mejor Ball que existe. Nunca falla.,Der beste Ball überhaupt. Er verfehlt nie.
item.potion,Potion,Potion,Poción,Trank
itemDesc.potion,Restores 20 HP to one Pokémon.,Rend 20 PV à un Pokémon.,Restaura 20 PS a un Pokémon.,Stellt 20 KP eines Pokémon wieder her.
item.super-potion,Super Potion,Super Potion,Superpoción,Supertrank
itemDesc.super-potion,Restores 50 HP to one Pokémon.,Rend 50 PV à un Pokémon.,Restaura 50 PS a un Pokémon.,Stellt 50 KP eines Pokémon wieder her.
item.hyper-potion,Hyper Potion,Hyper Potion,Hiperpoción,Hypertrank
itemDesc.hyper-potion,Restores 120 HP to one Pokémon.,Rend 120 PV à un Pokémon.,Restaura 120 PS a un Pokémon.,Stellt 120 KP eines Pokémon wieder her.
item.revive,Revive,Rappel,Revivir,Beleber
itemDesc.revive,Revives a fainted Pokémon with half its max HP. In battle or from the Team screen.,Ranime un Pokémon K.O. avec la moitié de ses PV max. En combat ou depuis l'écran Équipe.,Revive a un Pokémon debilitado con la mitad de sus PS máximos. En combate o desde la pantalla Equipo.,Belebt ein kampfunfähiges Pokémon mit der Hälfte seiner max. KP wieder. Im Kampf oder im Team-Bildschirm.
item.max-revive,Max Revive,Rappel Max,Revivir Máximo,Top-Beleber
itemDesc.max-revive,Revives a fainted Pokémon with all its HP. In battle or from the Team screen.,Ranime un Pokémon K.O. avec tous ses PV. En combat ou depuis l'écran Équipe.,Revive a un Pokémon debilitado con todos sus PS. En combate o desde la pantalla Equipo.,Belebt ein kampfunfähiges Pokémon mit allen KP wieder. Im Kampf oder im Team-Bildschirm.
item.fire-stone,Fire Stone,Pierre Feu,Piedra Fuego,Feuerstein
itemDesc.fire-stone,"Makes certain Pokémon evolve: Vulpix, Growlithe, Eevee (Flareon). Use it from the Team screen.","Fait évoluer certains Pokémon : Goupix, Caninos, Évoli (Pyroli). À utiliser depuis l'écran Équipe.","Hace evolucionar a ciertos Pokémon: Vulpix, Growlithe, Eevee (Flareon). Úsalo desde la pantalla Equipo.","Lässt bestimmte Pokémon entwickeln: Vulpix, Fukano, Evoli (Flamara). Im Team-Bildschirm einsetzbar."
item.water-stone,Water Stone,Pierre Eau,Piedra Agua,Wasserstein
itemDesc.water-stone,"Makes certain Pokémon evolve: Poliwhirl, Shellder, Staryu, Eevee (Vaporeon). Use it from the Team screen.","Fait évoluer certains Pokémon : Têtarte, Kokiyas, Stari, Évoli (Aquali). À utiliser depuis l'écran Équipe.","Hace evolucionar a ciertos Pokémon: Poliwhirl, Shellder, Staryu, Eevee (Vaporeon). Úsalo desde la pantalla Equipo.","Lässt bestimmte Pokémon entwickeln: Quaputzi, Muschas, Sterndu, Evoli (Aquana). Im Team-Bildschirm einsetzbar."
item.thunder-stone,Thunder Stone,Pierre Foudre,Piedra Trueno,Donnerstein
itemDesc.thunder-stone,"Makes certain Pokémon evolve: Pikachu, Eevee (Jolteon). Use it from the Team screen.","Fait évoluer certains Pokémon : Pikachu, Évoli (Voltali). À utiliser depuis l'écran Équipe.","Hace evolucionar a ciertos Pokémon: Pikachu, Eevee (Jolteon). Úsalo desde la pantalla Equipo.","Lässt bestimmte Pokémon entwickeln: Pikachu, Evoli (Blitza). Im Team-Bildschirm einsetzbar."
item.leaf-stone,Leaf Stone,Pierre Plante,Piedra Hoja,Blattstein
itemDesc.leaf-stone,"Makes certain Pokémon evolve: Gloom, Weepinbell, Exeggcute. Use it from the Team screen.","Fait évoluer certains Pokémon : Ortide, Boustiflor, Noeunoeuf. À utiliser depuis l'écran Équipe.","Hace evolucionar a ciertos Pokémon: Gloom, Weepinbell, Exeggcute. Úsalo desde la pantalla Equipo.","Lässt bestimmte Pokémon entwickeln: Duflor, Ultrigaria, Owei. Im Team-Bildschirm einsetzbar."
item.moon-stone,Moon Stone,Pierre Lune,Piedra Lunar,Mondstein
itemDesc.moon-stone,"Makes certain Pokémon evolve: Nidorina, Nidorino, Clefairy, Jigglypuff. Use it from the Team screen.","Fait évoluer certains Pokémon : Nidorina, Nidorino, Mélofée, Rondoudou. À utiliser depuis l'écran Équipe.","Hace evolucionar a ciertos Pokémon: Nidorina, Nidorino, Clefairy, Jigglypuff. Úsalo desde la pantalla Equipo.","Lässt bestimmte Pokémon entwickeln: Nidorina, Nidorino, Piepi, Pummeluff. Im Team-Bildschirm einsetzbar."
item.helix-fossil,Helix Fossil,Nautile,Fósil Hélix,Helixfossil
itemDesc.helix-fossil,"A fossil of an ancient Pokémon. Omanyte waits in your Box and is revived after 24 hours, at Lv.20.","Un fossile d'un Pokémon ancien. Amonita attend dans votre Boîte et revit après 24 heures, au N.20.","Un fósil de un Pokémon antiguo. Omanyte espera en tu Caja y revive tras 24 horas, al Nv.20.",Ein Fossil eines urzeitlichen Pokémon. Amonitas wartet in deiner Box und wird nach 24 Stunden auf Lv.20 wiederbelebt.
item.dome-fossil,Dome Fossil,Fossile Dôme,Fósil Domo,Domfossil
itemDesc.dome-fossil,"A fossil of an ancient Pokémon. Kabuto waits in your Box and is revived after 24 hours, at Lv.20.","Un fossile d'un Pokémon ancien. Kabuto attend dans votre Boîte et revit après 24 heures, au N.20.","Un fósil de un Pokémon antiguo. Kabuto espera en tu Caja y revive tras 24 horas, al Nv.20.",Ein Fossil eines urzeitlichen Pokémon. Kabuto wartet in deiner Box und wird nach 24 Stunden auf Lv.20 wiederbelebt.
item.old-amber,Old Amber,Vieil Ambre,Ámbar Viejo,Altbernstein
itemDesc.old-amber,"A fossil of an ancient Pokémon. Aerodactyl waits in your Box and is revived after 24 hours, at Lv.20.","Un fossile d'un Pokémon ancien. Ptéra attend dans votre Boîte et revit après 24 heures, au N.20.","Un fósil de un Pokémon antiguo. Aerodactyl espera en tu Caja y revive tras 24 horas, al Nv.20.",Ein Fossil eines urzeitlichen Pokémon. Aerodactyl wartet in deiner Box und wird nach 24 Stunden auf Lv.20 wiederbelebt.
# --- Areas,,,,
area.route-1,Route 1,Route 1,Ruta 1,Route 1
area.routes-22-2,Routes 22 & 2,Routes 22 & 2,Rutas 22 y 2,Routen 22 & 2
area.viridian-forest,Viridian Forest,Forêt de Jade,Bosque Verde,Vertania-Wald
area.mt-moon,Mt. Moon,Mont Sélénite,Monte Luna,Mondberg
area.route-3,Route 3,Route 3,Ruta 3,Route 3
area.route-4-nugget-bridge,Route 4 & Nugget Bridge,Route 4 & Pont Pépite,Ruta 4 y Puente Pepita,Route 4 & Nugget-Brücke
area.routes-5-6,Routes 5 & 6,Routes 5 & 6,Rutas 5 y 6,Routen 5 & 6
area.rocket-hideout,Rocket Hideout,Repaire de la Team Rocket,Guarida del Team Rocket,Rocket-Versteck
area.rock-tunnel,Rock Tunnel,Tunnel Roche,Túnel Roca,Felstunnel
area.cycling-road,Cycling Road,Route Cyclable,Ciclovía,Radweg
area.diglett-s-cave-route-11,Diglett's Cave & Route 11,Grotte Taupiqueur & Route 11,Cueva Diglett y Ruta 11,Digda-Höhle & Route 11
area.routes-9-10,Routes 9 & 10,Routes 9 & 10,Rutas 9 y 10,Routen 9 & 10
area.routes-7-8,Routes 7 & 8,Routes 7 & 8,Rutas 7 y 8,Routen 7 & 8
area.pokemon-tower,Pokémon Tower,Tour Pokémon,Torre Pokémon,Pokémon-Turm
area.routes-12-15,Routes 12–15,Routes 12–15,Rutas 12-15,Routen 12–15
area.indigo-plateau,Indigo Plateau,Plateau Indigo,Meseta Añil,Indigo Plateau
area.safari-zone,Safari Zone,Parc Safari,Zona Safari,Safari-Zone
area.silph-co,Silph Co.,Sylphe SARL,Silph S.A.,Silph Co.
area.sea-routes-19-20,Sea Routes 19 & 20,Routes maritimes 19 & 20,Rutas marinas 19 y 20,Seerouten 19 & 20
area.seafoam-islands,Seafoam Islands,Îles Écume,Islas Espuma,Seeschauminseln
area.cerulean-cave,Cerulean Cave,Grotte Azurée,Cueva Celeste,Unbekanntes Dungeon
area.power-plant,Power Plant,Centrale,Central Eléctrica,Kraftwerk
area.pokemon-mansion,Pokémon Mansion,Manoir Pokémon,Mansión Pokémon,Pokémon-Villa
area.route-21,Route 21,Route 21,Ruta 21,Route 21
area.faraway-island,Faraway Island,Île Lointaine,Isla Lejana,Ferne Insel
area.victory-road,Victory Road,Route Victoire,Calle Victoria,Siegesstraße
area.victory-road-ii,Victory Road II,Route Victoire II,Calle Victoria II,Siegesstraße II
area.indigo-plateau-ii,Indigo Plateau II,Plateau Indigo II,Meseta Añil II,Indigo Plateau II
# --- Gym badges,,,,
badge.boulder-badge,Boulder Badge,Badge Roche,Medalla Roca,Felsorden
badge.cascade-badge,Cascade Badge,Badge Cascade,Medalla Cascada,Quellorden
badge.thunder-badge,Thunder Badge,Badge Foudre,Medalla Trueno,Donnerorden
badge.rainbow-badge,Rainbow Badge,Badge Prisme,Medalla Arcoíris,Farborden
badge.soul-badge,Soul Badge,Badge Âme,Medalla Alma,Seelenorden
badge.marsh-badge,Marsh Badge,Badge Marais,Medalla Pantano,Sumpforden
badge.volcano-badge,Volcano Badge,Badge Volcan,Medalla Volcán,Vulkanorden
badge.earth-badge,Earth Badge,Badge Terre,Medalla Tierra,Erdorden
# --- Trainer classes - the given name that follows is never translated,,,,
trainerClass.ace-trainer,Ace Trainer,Topdresseur,Entrenador Guay,Ass-Trainer
trainerClass.beauty,Beauty,Canon,Modelo,Schönheit
trainerClass.biker,Biker,Motard,Motorista,Biker
trainerClass.bird-keeper,Bird Keeper,Ornithologue,Ornitólogo,Vogelfreund
trainerClass.black-belt,Black Belt,Karatéka,Karateka,Schwarzgurt
trainerClass.bug-catcher,Bug Catcher,Scout,Cazabichos,Käfersammler
trainerClass.burglar,Burglar,Pyromane,Ladrón,Feuerteufel
trainerClass.camper,Camper,Campeur,Campista,Camper
trainerClass.champion,Champion,Maître,Campeón,Champ
trainerClass.channeler,Channeler,Medium,Médium,Medium
trainerClass.cooltrainer,Cooltrainer,Dresseur Cool,Entrenador Guay,Cooltrainer
trainerClass.cue-ball,Cue Ball,Loubard,Chico Rudo,Rowdy
trainerClass.elite-four,Elite Four,Conseil 4,Alto Mando,Top Vier
trainerClass.engineer,Engineer,Ingénieur,Ingeniero,Ingenieur
trainerClass.fisherman,Fisherman,Pêcheur,Pescador,Angler
trainerClass.gambler,Gambler,Joueur,Jugador,Spieler
trainerClass.gentleman,Gentleman,Gentleman,Caballero,Gentleman
trainerClass.hiker,Hiker,Montagnard,Montañero,Wanderer
trainerClass.juggler,Juggler,Jongleur,Malabarista,Jongleur
trainerClass.lass,Lass,Fillette,Chica,Göre
trainerClass.picnicker,Picnicker,Pique-niqueuse,Excursionista,Picknickerin
trainerClass.pokemaniac,Pokémaniac,Pokémaniac,Pokémaníaco,Pokémaniac
trainerClass.psychic,Psychic,Kinésiste,Psíquico,Hypnotiseur
trainerClass.rival,Rival,Rival,Rival,Rivale
trainerClass.rocker,Rocker,Rockeur,Roquero,Rocker
trainerClass.rocket-boss,Rocket Boss,Boss de la Team Rocket,Jefe del Team Rocket,Rocket-Boss
trainerClass.rocket-grunt,Rocket Grunt,Sbire de la Team Rocket,Recluta del Team Rocket,Rocket-Rüpel
trainerClass.sailor,Sailor,Marin,Marinero,Matrose
trainerClass.scientist,Scientist,Scientifique,Científico,Forscher
trainerClass.super-nerd,Super Nerd,Intello,Cerebrito,Superfreak
trainerClass.swimmer,Swimmer,Nageur,Nadador,Schwimmer
trainerClass.tamer,Tamer,Dompteur,Domador,Dompteur
trainerClass.youngster,Youngster,Gamin,Joven,Knirps
# --- Trainer, Gym Leader, Elite Four and Champion names - kept as they are,,,,
trainerName.brock,Brock,Brock,Brock,Brock
trainerName.misty,Misty,Misty,Misty,Misty
trainerName.lt-surge,Lt. Surge,Lt. Surge,Lt. Surge,Lt. Surge
trainerName.erika,Erika,Erika,Erika,Erika
trainerName.koga,Koga,Koga,Koga,Koga
trainerName.sabrina,Sabrina,Sabrina,Sabrina,Sabrina
trainerName.blaine,Blaine,Blaine,Blaine,Blaine
trainerName.giovanni,Giovanni,Giovanni,Giovanni,Giovanni
trainerName.blue,Blue,Blue,Blue,Blue
trainerName.red,Red,Red,Red,Red
trainerName.green,Green,Green,Green,Green
trainerName.lance,Lance,Lance,Lance,Lance
trainerName.lorelei,Lorelei,Lorelei,Lorelei,Lorelei
trainerName.bruno,Bruno,Bruno,Bruno,Bruno
trainerName.agatha,Agatha,Agatha,Agatha,Agatha
trainerName.rival,Rival,Rival,Rival,Rival
# --- UI,,,,
ui.type.base,Base,Base,Base,Basis
ui.type.normal,Normal,Normal,Normal,Normal
ui.type.fire,Fire,Feu,Fuego,Feuer
ui.type.water,Water,Eau,Agua,Wasser
ui.type.electric,Electric,Électrik,Eléctrico,Elektro
ui.type.grass,Grass,Plante,Planta,Pflanze
ui.type.ice,Ice,Glace,Hielo,Eis
ui.type.fighting,Fighting,Combat,Lucha,Kampf
ui.type.poison,Poison,Poison,Veneno,Gift
ui.type.ground,Ground,Sol,Tierra,Boden
ui.type.flying,Flying,Vol,Volador,Flug
ui.type.psychic,Psychic,Psy,Psíquico,Psycho
ui.type.bug,Bug,Insecte,Bicho,Käfer
ui.type.rock,Rock,Roche,Roca,Gestein
ui.type.ghost,Ghost,Spectre,Fantasma,Geist
ui.type.dragon,Dragon,Dragon,Dragón,Drache
ui.type.dark,Dark,Ténèbres,Siniestro,Unlicht
ui.type.steel,Steel,Acier,Acero,Stahl
ui.type.fairy,Fairy,Fée,Hada,Fee
ui.dieAbbr.base,BAS,BAS,BAS,BAS
ui.dieAbbr.normal,NRM,NRM,NRM,NRM
ui.dieAbbr.fire,FIR,FEU,FUE,FEU
ui.dieAbbr.water,WTR,EAU,AGU,WAS
ui.dieAbbr.electric,ELE,ELE,ELE,ELE
ui.dieAbbr.grass,GRS,PLA,PLA,PFL
ui.dieAbbr.ice,ICE,GLA,HIE,EIS
ui.dieAbbr.fighting,FGT,CBT,LUC,KPF
ui.dieAbbr.poison,PSN,PSN,VEN,GIF
ui.dieAbbr.ground,GRD,SOL,TIE,BOD
ui.dieAbbr.flying,FLY,VOL,VOL,FLU
ui.dieAbbr.psychic,PSY,PSY,PSI,PSY
ui.dieAbbr.bug,BUG,INS,BIC,KAF
ui.dieAbbr.rock,RCK,ROC,ROC,GES
ui.dieAbbr.ghost,GHO,SPE,FAN,GEI
ui.dieAbbr.dragon,DRG,DRA,DRA,DRA
ui.dieAbbr.dark,DRK,TEN,SIN,UNL
ui.dieAbbr.steel,STL,ACI,ACE,STA
ui.dieAbbr.fairy,FAI,FEE,HAD,FEE
ui.combo.pair,Pair,Paire,Pareja,Paar
ui.combo.two_pair,Two Pair,Double paire,Doble pareja,Zwei Paare
ui.combo.three_kind,Three of a Kind,Brelan,Trío,Drilling
ui.combo.small_straight,Small Straight,Petite suite,Escalera corta,Kleine Straße
ui.combo.full_house,Full House,Full,Full,Full House
ui.combo.four_kind,Four of a Kind,Carré,Póker,Vierling
ui.combo.full_straight,Full Straight,Grande suite,Escalera grande,Große Straße
ui.combo.five_kind,Five of a Kind,Quinte,Repóker,Fünfling
ui.status.burn.name,Burn,Brûlure,Quemadura,Verbrennung
ui.status.poison.name,Poison,Poison,Veneno,Vergiftung
ui.status.frozen.name,Frozen,Gel,Congelación,Einfrieren
ui.status.paralyze.name,Paralyze,Paralysie,Parálisis,Paralyse
ui.status.confuse.name,Confuse,Confusion,Confusión,Verwirrung
